person_id,distorted_img,reference_id,similarity,label
129_frontal,129_frontal_sunny.jpg,129_frontal,0.23143831,1
129_frontal,129_frontal_resized.jpg,129_frontal,0.99491984,1
129_frontal,129_frontal_rainy.jpg,129_frontal,0.92876875,1
129_frontal,129_frontal_noisy.jpg,129_frontal,0.96298873,1
129_frontal,129_frontal_noisy.jpg,100_frontal,-0.06251225,0
129_frontal,129_frontal_noisy.jpg,067_frontal,0.23325366,0
129_frontal,129_frontal_lowlight.jpg,129_frontal,0.96078527,1
129_frontal,129_frontal_foggy.jpg,129_frontal,0.9700121,1
129_frontal,129_frontal_blurred.jpg,129_frontal,0.9924583,1
128_frontal,128_frontal_resized.jpg,128_frontal,0.9967124,1
128_frontal,128_frontal_resized.jpg,081_frontal,0.35221386,0
128_frontal,128_frontal_rainy.jpg,128_frontal,0.90412676,1
128_frontal,128_frontal_noisy.jpg,128_frontal,0.9478534,1
128_frontal,128_frontal_lowlight.jpg,128_frontal,0.9461123,1
128_frontal,128_frontal_foggy.jpg,128_frontal,0.943591,1
128_frontal,128_frontal_blurred.jpg,128_frontal,0.9972577,1
125_frontal,125_frontal_resized.jpg,125_frontal,0.99379826,1
125_frontal,125_frontal_resized.jpg,067_frontal,0.3685798,0
125_frontal,125_frontal_rainy.jpg,125_frontal,0.8985193,1
125_frontal,125_frontal_noisy.jpg,125_frontal,0.94078517,1
125_frontal,125_frontal_noisy.jpg,081_frontal,0.2658926,0
125_frontal,125_frontal_lowlight.jpg,125_frontal,0.9303399,1
125_frontal,125_frontal_foggy.jpg,125_frontal,0.9219793,1
125_frontal,125_frontal_blurred.jpg,125_frontal,0.99353004,1
124_frontal,124_frontal_sunny.jpg,124_frontal,0.22921634,1
124_frontal,124_frontal_resized.jpg,124_frontal,0.99390393,1
124_frontal,124_frontal_rainy.jpg,124_frontal,0.9077189,1
124_frontal,124_frontal_noisy.jpg,124_frontal,0.96668905,1
124_frontal,124_frontal_lowlight.jpg,124_frontal,0.9457133,1
124_frontal,124_frontal_foggy.jpg,124_frontal,0.93591833,1
124_frontal,124_frontal_blurred.jpg,124_frontal,0.99357593,1
123_frontal,123_frontal_resized.jpg,123_frontal,0.9986993,1
123_frontal,123_frontal_resized.jpg,022_frontal,0.24376383,0
123_frontal,123_frontal_rainy.jpg,123_frontal,0.82622,1
123_frontal,123_frontal_rainy.jpg,044_frontal,-0.11369859,0
123_frontal,123_frontal_noisy.jpg,123_frontal,0.90193796,1
123_frontal,123_frontal_lowlight.jpg,123_frontal,0.93468577,1
123_frontal,123_frontal_foggy.jpg,123_frontal,0.8991798,1
123_frontal,123_frontal_blurred.jpg,123_frontal,0.99620575,1
122_frontal,122_frontal_resized.jpg,122_frontal,0.99818945,1
122_frontal,122_frontal_resized.jpg,013_frontal,0.025065742,0
122_frontal,122_frontal_rainy.jpg,122_frontal,0.9221978,1
122_frontal,122_frontal_noisy.jpg,122_frontal,0.9706066,1
122_frontal,122_frontal_lowlight.jpg,122_frontal,0.97479385,1
122_frontal,122_frontal_foggy.jpg,122_frontal,0.95630133,1
122_frontal,122_frontal_blurred.jpg,122_frontal,0.99583644,1
121_frontal,121_frontal_resized.jpg,121_frontal,0.98864007,1
121_frontal,121_frontal_rainy.jpg,121_frontal,0.88914734,1
121_frontal,121_frontal_rainy.jpg,117_frontal,0.2648194,0
121_frontal,121_frontal_noisy.jpg,121_frontal,0.94971836,1
121_frontal,121_frontal_lowlight.jpg,121_frontal,0.9712576,1
121_frontal,121_frontal_foggy.jpg,121_frontal,0.9512588,1
121_frontal,121_frontal_foggy.jpg,055_frontal,0.07658637,0
121_frontal,121_frontal_blurred.jpg,121_frontal,0.9975853,1
119_frontal,119_frontal_resized.jpg,119_frontal,0.9978267,1
119_frontal,119_frontal_rainy.jpg,119_frontal,0.8455507,1
119_frontal,119_frontal_noisy.jpg,119_frontal,0.89395857,1
119_frontal,119_frontal_lowlight.jpg,119_frontal,0.929268,1
119_frontal,119_frontal_foggy.jpg,119_frontal,0.89839876,1
119_frontal,119_frontal_foggy.jpg,066_frontal,0.12770846,0
119_frontal,119_frontal_blurred.jpg,119_frontal,0.9954845,1
118_frontal,118_frontal_resized.jpg,118_frontal,0.9966397,1
118_frontal,118_frontal_rainy.jpg,118_frontal,0.8546606,1
118_frontal,118_frontal_noisy.jpg,118_frontal,0.93356246,1
